trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_Distractor,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
39,0,39,0,10,92.68866969999999,92.68866969999999,0.02410509999981514,[0.03333333333333333],[-0.387037037037037],[1],[0],[0],[2.1334598999999344],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
40,0,40,0,5,94.8336260000001,94.8336260000001,0.011386200000060853,[-0.39166666666666666],[-0.3990740740740741],[1],[0],[0],[2.04768920000015],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
41,0,41,0,5,96.90759700000012,96.90759700000012,0.013648800000055417,[-0.3333333333333333],[-0.4648148148148148],[1],[0],[0],[1.6423029000000042],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
42,0,42,0,10,98.57265050000001,98.57265050000001,0.023854000000028464,[-0.32685185185185184],[-0.2722222222222222],[1],[0],[0],[1.9174283999998352],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
43,0,43,0,5,100.50924510000004,100.50924510000004,0.011969300000146177,[-0.017592592592592594],[-0.2601851851851852],[1],[0],[0],[1.9801715999999487],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
44,0,44,0,10,102.51915880000001,102.51915880000001,0.023549100000082035,[0.07407407407407407],[0.32407407407407407],[1],[0],[0],[2.233073099999956],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
45,0,45,0,10,104.77725210000017,104.77725210000017,0.02462979999995696,[0.2175925925925926],[-0.45092592592592595],[1],[0],[0],[2.7140896999999313],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
46,0,46,0,5,107.49958860000015,107.49958860000015,0.011352699999861215,[-0.1361111111111111],[-0.21203703703703702],[1],[0],[0],[0.9654814000000442],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
47,0,47,0,10,108.5035941000001,108.5035941000001,0.022500199999967663,[0.10185185185185185],[0.2657407407407407],[1],[0],[0],[2.3351290000000517],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
48,0,48,0,5,110.8399287000002,110.8399287000002,0.012426799999957439,[-0.43425925925925923],[0.24444444444444444],[1],[0],[0],[2.0126142000001437],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
49,0,49,0,5,112.8686345000001,112.8686345000001,0.011711099999956787,[0.2953703703703704],[0.412962962962963],[1],[0],[0],[2.411783900000046],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
50,0,50,0,10,115.3192703000002,115.3192703000002,0.023168300000179443,[0.4166666666666667],[0.425],[1],[0],[0],[1.7190914999998768],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
51,0,51,0,5,117.03967910000006,117.03967910000006,0.011335599999938495,[0.22407407407407406],[-0.35648148148148145],[1],[0],[0],[1.9633168999998816],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
52,0,52,0,5,119.01764820000017,119.01764820000017,0.011682900000096197,[-0.001851851851851852],[0.44537037037037036],[1],[0],[0],[2.1790194000000156],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
53,0,53,0,5,121.2132865000001,121.2132865000001,0.01238299999999981,[-0.23148148148148148],[0.28888888888888886],[1],[0],[0],[1.3972023999999692],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
54,0,54,0,5,122.64302540000017,122.64302540000017,0.02402580000011767,[-0.1527777777777778],[0.2962962962962963],[1],[0],[0],[1.248791600000004],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
55,0,55,0,5,123.93452109999998,123.93452109999998,0.026055899999846588,[-0.15648148148148147],[0.2462962962962963],[1],[0],[0],[1.281158000000005],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
56,0,56,0,10,125.27972810000006,125.27972810000006,0.05393299999991541,[-0.49074074074074076],[0.4046296296296296],[1],[0],[0],[1.7842223000000104],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
57,0,57,0,5,127.06987320000007,127.06987320000007,0.013561400000071444,[-0.04722222222222222],[0.4888888888888889],[1],[0],[0],[1.9948162999999113],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
58,0,58,0,5,129.08431600000017,129.08431600000017,0.012792099999842321,[0.23055555555555557],[-0.05462962962962963],[1],[0],[0],[2.3928430999999364],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
59,0,59,0,10,131.5071151000002,131.5071151000002,0.024079000000028827,[-0.022222222222222223],[0.19074074074074074],[1],[0],[0],[1.467661299999918],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
60,0,60,0,5,132.98586560000012,132.98586560000012,0.011385200000177065,[0.33611111111111114],[-0.14537037037037037],[1],[0],[0],[2.8450587999998334],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
61,0,61,0,10,135.8567091,135.8567091,0.024371499999915613,[-0.42777777777777776],[-0.1824074074074074],[1],[0],[0],[2.166095499999983],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
62,0,62,0,10,138.0569977,138.0569977,0.025433699999894088,[-0.3314814814814815],[-0.30925925925925923],[1],[0],[0],[1.4676560000000336],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
63,0,63,0,5,139.5318424000002,139.5318424000002,0.01155149999999594,[0.45555555555555555],[-0.3148148148148148],[1],[0],[0],[2.8113934000000427],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
64,0,64,0,5,142.3596355000002,142.3596355000002,0.014370100000178354,[-0.05185185185185185],[-0.08333333333333333],[1],[0],[0],[1.7946564000001217],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
